"Table 1.6: Mongolia Input-Output Table (35x35), 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 120 , 4 , 413 , 85 , 16 , 8 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 1 , 6 , 0 , 0 , 0 , 23 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 3 , 7 , 3 , 1 , -   , 397 , 0 , 0 , 117 , 261 , 146 ," 1,618 ",,
Mining and quarrying,c2, 22 , 108 , 20 , 5 , 1 , 1 , 1 , 42 , 1 , 0 , 12 , 16 , 1 , 0 , 0 , 1 , 72 , 113 , 1 , 13 , 7 , 5 , 7 , 0 , 3 , 5 , 5 , 7 , 9 , 28 , 44 , 15 , 5 , 9 , -   , 55 , 1 , 15 , 412 , 48 ," 3,384 "," 4,493 ",,
"Food, beverages, and tobacco",c3, 9 , 5 , 94 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 3 , 58 , 0 , 0 , 1 , 0 , 2 , 2 , 1 , 5 , 7 , 18 , 6 , 1 , -   , 939 , 0 , 0 , 1 , 134 , 19 ," 1,310 ",,
Textiles and textile products,c4, 1 , 4 , 1 , 45 , 5 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 7 , 0 , 2 , 3 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 6 , 6 , 6 , 2 , 3 , -   , 132 , 0 , 0 , 4 , 28 , 51 , 314 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 6 , 6 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 20 , 0 , 0 , 0 , 8 , 9 , 53 ,,
Wood and products of wood and cork,c6, 1 , 1 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 5 , 0 , 21 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , -   , 3 , 0 , 0 , 5 , 2 , 2 , 52 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 2 , 8 , 0 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 4 , 3 , 1 , 1 , 1 , -   , 14 , 0 , 0 , 5 , 8 , 1 , 66 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 8 , 72 , 1 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 12 , 0 , 3 , 2 , 2 , 40 , 0 , 5 , 3 , 0 , 1 , 0 , 2 , 3 , 1 , 1 , 0 , -   , 31 , -   , -   , -   , (3), 41 , 234 ,,
Chemicals and chemical products,c9, 4 , 14 , 1 , 0 , 0 , 0 , 1 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 2 , 2 , 0 , 6 , 0 , -   , 6 , 0 , 0 , 0 , 4 , 1 , 54 ,,
Rubber and plastics,c10, 1 , 7 , 3 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 2 , 0 , 0 , 0 , 2 , 0 , 26 ,,
Other nonmetallic minerals,c11, 0 , 3 , 13 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 15 , 2 , 0 , 0 , 0 , 0 , 3 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , -   , 6 , 0 , 0 , 7 , (3), 9 , 162 ,,
