"Table 1.9: Mongolia Input-Output Table (35x35), 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 143 , 6 , 530 , 46 , 13 , 11 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 8 , 0 , 0 , 0 , 15 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 3 , 8 , 2 , 1 , -   , 487 , 0 , 0 , 377 , 423 , 218 ," 2,298 ",,
Mining and quarrying,c2, 7 , 155 , 7 , 1 , 0 , 1 , 1 , 123 , 1 , 0 , 11 , 21 , 1 , 1 , 0 , 0 , 29 , 152 , 2 , 7 , 4 , 2 , 4 , 0 , 2 , 2 , 3 , 4 , 7 , 20 , 16 , 4 , 2 , 4 , -   , 44 , 1 , 14 , 106 , 30 ," 4,311 "," 5,100 ",,
"Food, beverages, and tobacco",c3, 15 , 5 , 92 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 3 , 0 , 43 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 3 , 13 , 3 , 5 , -   ," 1,229 ", 0 , 0 , 1 , 52 , 8 ," 1,483 ",,
Textiles and textile products,c4, 1 , 13 , 1 , 41 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 6 , 0 , 3 , 2 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 5 , 0 , 1 , -   , 167 , 0 , 0 , 5 , 12 , 57 , 324 ,,
"Leather, leather products, and footwear",c5, 0 , 1 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 17 , 0 , 0 , 0 , (1), 8 , 33 ,,
Wood and products of wood and cork,c6, 1 , 3 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 22 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 0 , 1 , 4 , 2 , 52 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 1 , 4 , 12 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 3 , 0 , 2 , 2 , 0 , 0 , 1 , -   , 25 , 0 , 0 , 1 , 2 , 1 , 70 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 11 , 66 , 3 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 3 , 2 , 1 , 0 , 0 , 0 , 5 , 25 , 2 , 9 , 9 , 1 , 60 , -   , 7 , 11 , 1 , 4 , 0 , 6 , 9 , 2 , 4 , 1 , -   , 55 , -   , -   , -   , 15 , 58 , 372 ,,
Chemicals and chemical products,c9, 6 , 18 , 2 , 1 , 0 , 0 , 1 , 0 , 3 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 7 , 0 , -   , 15 , 0 , 0 , 0 , 1 , 1 , 67 ,,
