"Table 1.9: Mongolia Input-Output Table (35x35), 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
Rubber and plastics,c10, 1 , 7 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 3 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 0 , 0 , 1 , 0 , 41 ,,
Other nonmetallic minerals,c11, 0 , 12 , 11 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 15 , 1 , 0 , 0 , 0 , 0 , 3 , 118 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 1 , 0 , 0 , 0 , -   , 10 , 0 , 0 , 7 , 4 , 12 , 202 ,,
Basic metals and fabricated metal,c12, 0 , 33 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 6 , 0 , 0 , 0 , 0 , 2 , 43 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , -   , 2 , 0 , 0 , 10 , 14 , 82 , 203 ,,
"Machinery, nec",c13, 1 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 2 , 2 , 1 , 0 , 1 , -   , 4 , 0 , 1 , 4 , 0 , 2 , 37 ,,
Electrical and optical equipment,c14, 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 2 , 0 , 0 , 1 , 1 , -   , 2 , 0 , 0 , 11 , 0 , 1 , 33 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , (0), 0 , 1 ,,
"Manufacturing, nec; recycling",c16, 3 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , -   , 8 , 0 , 0 , 3 , 2 , 2 , 31 ,,
"Electricity, gas, and water supply",c17, 7 , 158 , 3 , 1 , 0 , 0 , 1 , 2 , 1 , 0 , 3 , 1 , 1 , 0 , 0 , 0 , 146 , 21 , 1 , 8 , 5 , 3 , 5 , 0 , 3 , 2 , 3 , 5 , 5 , 20 , 21 , 4 , 2 , 13 , -   , 50 , 10 , 55 , 17 , 0 , 20 , 599 ,,
Construction,c18, 7 , 292 , 6 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 3 , 1 , 1 , 0 , 0 , 0 , 4 , 247 , 3 , 7 , 5 , 2 , 4 , 0 , 1 , 1 , 1 , 2 , 55 , 7 , 6 , 7 , 3 , 4 , -   , 41 , 0 , 0 ," 1,701 ", 3 , 41 ," 2,460 ",,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 5 , 28 , 12 , 2 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 20 , 0 , 3 , 2 , 2 , 8 , 0 , 1 , 2 , 1 , 1 , 1 , 4 , 3 , 2 , 2 , 1 , -   , 81 , 0 , 1 , 22 , 1 , 23 , 239 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 23 , 102 , 55 , 11 , 1 , 2 , 2 , 5 , 2 , 2 , 6 , 6 , 1 , 1 , 0 , 1 , 6 , 87 , 2 , 11 , 8 , 8 , 37 , 0 , 5 , 8 , 6 , 4 , 5 , 13 , 8 , 5 , 8 , 4 , -   , 295 , 0 , 1 , 98 , 3 , 192 ," 1,036 ",,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 20 , 88 , 49 , 9 , 1 , 2 , 2 , 4 , 2 , 2 , 6 , 6 , 1 , 1 , 0 , 1 , 5 , 77 , 2 , 9 , 6 , 7 , 32 , 0 , 4 , 7 , 5 , 3 , 2 , 10 , 6 , 5 , 8 , 3 , -   , 245 , 0 , 0 , 85 , 3 , 169 , 887 ,,
Hotels and restaurants,c22, 4 , 31 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 10 , 3 , 9 , 5 , 1 , 5 , 0 , 2 , 1 , 2 , 5 , 1 , 14 , 4 , 3 , 2 , 6 , -   , 126 , 0 , 1 , 1 , 0 , 29 , 274 ,,
Inland transport,c23, 29 , 196 , 18 , 4 , 1 , 1 , 1 , 3 , 1 , 1 , 3 , 3 , 1 , 0 , 0 , 1 , 7 , 59 , 17 , 40 , 48 , 5 , 51 , 0 , 3 , 22 , 3 , 10 , 9 , 34 , 3 , 20 , 3 , 6 , -   , 282 , 0 , 0 , 25 , 1 , 108 ," 1,020 ",,
Water transport,c24, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , (0), 0 , 0 ,,
Air transport,c25, 1 , 29 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 1 , 4 , 4 , 0 , 2 , 0 , 27 , 0 , 0 , 1 , 4 , 8 , 9 , 0 , 0 , 1 , -   , 69 , -   , 0 , 0 , 0 , 41 , 207 ,,
Other supporting and auxiliary transport activities; activities of travel agencies,c26, 8 , 42 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 17 , 4 , 15 , 16 , 2 , 8 , 0 , 3 , 2 , 4 , 6 , 5 , 15 , 10 , 3 , 1 , 3 , -   , 99 , 0 , 3 , 7 , 0 , 8 , 290 ,,
Post and telecommunications,c27, 7 , 22 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 18 , 4 , 21 , 18 , 1 , 11 , 0 , 4 , 3 , 8 , 8 , 2 , 16 , 4 , 3 , 2 , 3 , -   , 160 , 0 , 0 , 0 , 0 , 7 , 325 ,,
Financial intermediation,c28, 149 , 213 , 12 , 2 , 0 , 1 , 1 , 6 , 0 , 0 , 7 , 2 , 1 , 0 , 0 , 1 , 13 , 43 , 9 , 24 , 27 , 1 , 28 , -   , 4 , 3 , 2 , 10 , 5 , 26 , 2 , 5 , 1 , 9 , -   , 105 , -   , -   , -   , (0), 12 , 727 ,,
Real estate activities,c29, 12 , 51 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 2 , 19 , 9 , 22 , 44 , 7 , 6 , 0 , 1 , 1 , 7 , 20 , 84 , 20 , 24 , 3 , 3 , 8 , -   , 685 , 0 , 2 , 0 , 0 , 40 ," 1,078 ",,
Renting of M&Eq and other business activities,c30, 25 , 232 , 6 , 3 , 0 , 1 , 2 , 3 , 2 , 1 , 3 , 4 , 2 , 0 , 0 , 1 , 8 , 65 , 5 , 25 , 17 , 9 , 16 , 0 , 10 , 8 , 9 , 17 , 19 , 67 , 70 , 14 , 6 , 15 , -   , 105 , 2 , 30 , 56 , 0 , 65 , 926 ,,
Public administration and defense; compulsory social security,c31, 0 , 11 , 17 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 5 , 21 , 1 , 2 , 2 , 1 , 2 , -   , 1 , 1 , 2 , 3 , 2 , 7 , 2 , 5 , 4 , 3 , -   , 35 , -   , 703 , -   , 0 , -   , 834 ,,
Education,c32, 0 , 10 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , -   , 303 , 3 , 381 , 0 , 0 , 6 , 715 ,,
Health and social work,c33, 0 , 7 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 3 , 0 , 0 , 2 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , -   , 125 , 1 , 215 , 0 , 0 , 3 , 373 ,,
"Other community, social, and personal services",c34, 3 , 35 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 5 , 12 , 1 , 4 , 2 , 2 , 3 , 0 , 1 , 1 , 1 , 2 , 2 , 9 , 10 , 2 , 2 , 38 , -   , 95 , 39 , 73 , 6 , 0 , 20 , 376 ,,
Private households with employed persons,c35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , (0), 0 , 4 ,,
Imports,M, 151 ," 1,060 ", 134 , 42 , 4 , 12 , 20 , 20 , 21 , 18 , 46 , 44 , 11 , 10 , 0 , 7 , 123 , 683 , 21 , 110 , 70 , 36 , 292 , 0 , 51 , 62 , 67 , 38 , 34 , 153 , 95 , 40 , 69 , 39 , 0 ," 1,397 ", 1 , 5 , 802 , 170 , -   ," 5,959 ",,
Intermediate input total,r60, 641 ," 2,947 ", 987 , 172 , 25 , 40 , 44 , 180 , 39 , 31 , 121 , 106 , 23 , 16 , 0 , 17 , 374 ," 1,818 ", 87 , 348 , 296 , 155 , 581 , 0 , 133 , 137 , 135 , 148 , 248 , 472 , 320 , 159 , 137 , 175 , 0 ," 6,381 ", 57 ," 1,487 "," 3,347 ", 742 ," 5,548 "," 28,676 ",,
Taxes less subsidies on products,r99, 26 , 139 , 35 , 6 , 1 , 2 , 3 , 3 , 3 , 2 , 7 , 6 , 2 , 1 , 0 , 1 , 5 , 98 , 3 , 16 , 11 , 11 , 39 , 0 , 7 , 9 , 8 , 6 , 7 , 23 , 15 , 8 , 9 , 7 , -   , 360 , 1 , 5 , 147 , 31 , -   ," 1,062 ",,
CIF / FOB adjustments on exports,r61, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Direct purchases abroad by residents,r62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   , -   , -   , 280 ,,
Purchases on the domestic territory by non-residents ,r63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (133), -   , -   , -   , -   , -   , (133),,
Value added at basic prices,r64," 1,631 "," 2,014 ", 461 , 146 , 7 , 10 , 23 , 189 , 26 , 8 , 74 , 92 , 13 , 15 , 0 , 13 , 220 , 544 , 149 , 672 , 579 , 108 , 400 , 0 , 66 , 144 , 182 , 573 , 822 , 430 , 499 , 548 , 227 , 195 , 4 , -   , -   , -   , -   , -   , -   ," 11,085 ",,
International Transport Margins,trs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
TOTAL,r69," 2,298 "," 5,100 "," 1,483 ", 324 , 33 , 52 , 70 , 372 , 67 , 41 , 202 , 203 , 37 , 33 , 1 , 31 , 599 ," 2,460 ", 239 ," 1,036 ", 887 , 274 ," 1,020 ", 0 , 207 , 290 , 325 , 727 ," 1,078 ", 926 , 834 , 715 , 373 , 376 , 4 ," 6,889 ", 58 ," 1,493 "," 3,494 ", 773 ," 5,548 "," 40,970 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
