"Table 1.7: Mongolia Input-Output Table (35x35), 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 132 , 3 , 574 , 80 , 25 , 13 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 7 , 2 , 1 , -   , 416 , 0 , 0 , 139 , 378 , 138 ," 1,941 ",,
Mining and quarrying,c2, 12 , 141 , 18 , 2 , 1 , 1 , 2 , 61 , 1 , 0 , 15 , 15 , 1 , 0 , 0 , 2 , 75 , 160 , 1 , 16 , 8 , 5 , 9 , 0 , 6 , 2 , 4 , 5 , 18 , 28 , 38 , 15 , 6 , 7 , -   , 73 , 1 , 24 , 467 , 144 ," 2,877 "," 4,263 ",,
"Food, beverages, and tobacco",c3, 9 , 4 , 83 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 0 , 51 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 3 , 6 , 18 , 5 , 1 , -   ," 1,199 ", 0 , 0 , 1 , 87 , 11 ," 1,489 ",,
Textiles and textile products,c4, 0 , 5 , 1 , 44 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 12 , 0 , 2 , 3 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 9 , 6 , 8 , 2 , 2 , -   , 136 , 0 , 0 , 9 , 11 , 40 , 302 ,,
"Leather, leather products, and footwear",c5, 0 , 1 , 0 , 4 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 32 , 0 , 0 , 0 , 4 , 9 , 58 ,,
Wood and products of wood and cork,c6, 1 , 1 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 36 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 6 , 0 , 0 , 5 , 4 , 2 , 71 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 3 , 13 , 0 , 0 , 0 , 11 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 5 , 0 , 6 , 5 , 2 , 1 , 2 , -   , 33 , 0 , 1 , 7 , (1), 2 , 100 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 11 , 74 , 2 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 4 , 26 , 0 , 6 , 3 , 3 , 63 , 0 , 8 , 3 , 0 , 0 , 0 , 4 , 4 , 1 , 1 , 1 , -   , 57 , -   , -   , -   , 19 , 76 , 374 ,,
Chemicals and chemical products,c9, 4 , 17 , 1 , 0 , 0 , 0 , 1 , 0 , 4 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 1 , 1 , 5 , 0 , -   , 10 , 0 , 0 , 0 , 6 , 1 , 64 ,,
Rubber and plastics,c10, 0 , 5 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 0 , 0 , 5 , 0 , 34 ,,
Other nonmetallic minerals,c11, 0 , 8 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 29 , 2 , 0 , 0 , 0 , 0 , 5 , 184 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 1 , 0 , 0 , 0 , -   , 10 , 0 , 0 , 11 , (20), 14 , 267 ,,
Basic metals and fabricated metal,c12, 0 , 15 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 5 , 0 , 0 , 0 , 0 , 0 , 42 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 4 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 12 , 30 , 14 , 132 ,,
