"Table 1.11: Mongolia Input-Output Table (35x35), 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 91 , 6 , 587 , 30 , 14 , 10 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 7 , 0 , 1 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2 , 5 , 8 , 2 , 1 , 0 , 354 , -   , 0 , 344 , 211 , 200 ," 1,890 ",,
Mining and quarrying,c2, 9 , 185 , 8 , 1 , 0 , 1 , 1 , 37 , 1 , 1 , 10 , 29 , 1 , 1 , 0 , 1 , 51 , 162 , 1 , 11 , 4 , 2 , 4 , 0 , 2 , 2 , 4 , 4 , 8 , 22 , 15 , 6 , 3 , 4 , 0 , 44 , 0 , 16 , 137 , 173 ," 3,738 "," 4,700 ",,
"Food, beverages, and tobacco",c3, 11 , 5 , 76 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 12 , 0 , 46 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 6 , 3 , 15 , 4 , 4 , 0 ," 1,169 ", -   , 0 , 0 , 117 , 24 ," 1,497 ",,
Textiles and textile products,c4, 0 , 5 , 1 , 32 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 4 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 3 , 0 , 1 , 0 , 133 , -   , 0 , 1 , 60 , 31 , 281 ,,
"Leather, leather products, and footwear",c5, 0 , 1 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 16 , -   , 0 , 0 , 4 , 6 , 31 ,,
Wood and products of wood and cork,c6, 1 , 1 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 18 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 4 , -   , 0 , 2 , 10 , 2 , 51 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 4 , 13 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 3 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 2 , 2 , 1 , 0 , 1 , 0 , 24 , -   , 0 , 1 , (1), 1 , 68 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 2 , 15 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 4 , 0 , 2 , 1 , 0 , 15 , -   , 1 , 2 , 1 , 1 , 0 , 2 , 2 , 0 , 1 , 0 , -   , 11 , -   , -   , -   , (6), 4 , 64 ,,
Chemicals and chemical products,c9, 4 , 13 , 1 , 0 , 0 , 0 , 1 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 6 , 0 , 0 , 11 , -   , 0 , 0 , 7 , 0 , 57 ,,
Rubber and plastics,c10, 0 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , -   , 0 , 0 , 0 , 0 , 18 ,,
Other nonmetallic minerals,c11, 0 , 8 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 2 , 85 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 8 , -   , 0 , 2 , 6 , 5 , 147 ,,
Basic metals and fabricated metal,c12, 0 , 27 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 5 , 0 , 0 , 0 , 0 , 3 , 28 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 2 , 1 , 0 , 1 , 0 , 0 , 3 , -   , 0 , 12 , 21 , 69 , 179 ,,
"Machinery, nec",c13, 1 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , -   , 0 , 9 , 5 , 2 , 32 ,,
Electrical and optical equipment,c14, 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , -   , 0 , 4 , 8 , 0 , 26 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , -   , 0 , 0 , (0), 0 , 2 ,,
"Manufacturing, nec; recycling",c16, 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 6 , -   , 0 , 4 , 5 , 2 , 31 ,,
"Electricity, gas, and water supply",c17, 11 , 202 , 4 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 3 , 1 , 0 , 0 , 0 , 0 , 222 , 18 , 1 , 11 , 5 , 3 , 4 , 0 , 3 , 3 , 4 , 6 , 5 , 23 , 23 , 6 , 3 , 13 , 0 , 54 , 7 , 65 , 12 , 0 , 24 , 740 ,,
Construction,c18, 29 , 226 , 7 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 1 , 1 , 0 , 0 , 0 , 6 , 285 , 2 , 10 , 3 , 2 , 3 , 0 , 0 , 1 , 2 , 2 , 39 , 6 , 5 , 7 , 2 , 4 , 0 , 28 , 0 , 0 ," 1,091 ", 5 , 51 ," 1,827 ",,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 3 , 16 , 10 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 10 , 0 , 2 , 1 , 1 , 6 , 0 , 1 , 1 , 2 , 1 , 1 , 3 , 2 , 1 , 2 , 1 , 0 , 43 , -   , 0 , 11 , 2 , 27 , 155 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 21 , 98 , 71 , 12 , 2 , 2 , 3 , 1 , 2 , 1 , 5 , 7 , 1 , 1 , 0 , 1 , 9 , 70 , 1 , 15 , 6 , 9 , 42 , 0 , 3 , 9 , 10 , 5 , 5 , 15 , 9 , 7 , 10 , 4 , 0 , 315 , -   , 1 , 73 , 11 , 194 ," 1,056 ",,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 16 , 73 , 53 , 9 , 1 , 2 , 2 , 1 , 2 , 1 , 4 , 5 , 1 , 1 , 0 , 1 , 7 , 52 , 1 , 11 , 4 , 7 , 31 , 0 , 2 , 6 , 7 , 3 , 3 , 11 , 6 , 5 , 9 , 3 , 0 , 222 , -   , 0 , 53 , 10 , 142 , 768 ,,
Hotels and restaurants,c22, 0 , 17 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 6 , 2 , 10 , 5 , 1 , 3 , 0 , 1 , 1 , 4 , 6 , 1 , 13 , 3 , 4 , 1 , 6 , 0 , 114 , 0 , 2 , 1 , 0 , 43 , 251 ,,
Inland transport,c23, 44 , 167 , 13 , 3 , 0 , 1 , 1 , 1 , 1 , 0 , 2 , 2 , 1 , 0 , 0 , 1 , 8 , 34 , 10 , 50 , 38 , 4 , 41 , 0 , 2 , 21 , 5 , 10 , 6 , 36 , 2 , 19 , 2 , 5 , 0 , 242 , 0 , 0 , 9 , 1 , 120 , 901 ,,
Water transport,c24, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , 0 , 0 , 0 ,,
Air transport,c25, 0 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 4 , 3 , 0 , 1 , 0 , 19 , 0 , 1 , 1 , 2 , 8 , 7 , 0 , 0 , 1 , 0 , 53 , -   , 0 , 0 , 0 , 40 , 163 ,,
Other supporting and auxiliary transport activities; activities of travel agencies,c26, 8 , 34 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 2 , 11 , 2 , 17 , 15 , 2 , 6 , 0 , 2 , 3 , 7 , 7 , 4 , 15 , 11 , 3 , 1 , 3 , 0 , 92 , -   , 4 , 4 , 0 , 15 , 276 ,,
Post and telecommunications,c27, 9 , 27 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 17 , 4 , 36 , 28 , 1 , 12 , 0 , 4 , 4 , 18 , 15 , 3 , 23 , 6 , 4 , 2 , 5 , 0 , 197 , -   , 0 , 0 , 0 , 9 , 432 ,,
Financial intermediation,c28, 123 , 230 , 17 , 2 , 0 , 1 , 2 , 1 , 0 , 0 , 7 , 1 , 1 , 0 , 0 , 1 , 16 , 38 , 8 , 26 , 24 , 2 , 23 , -   , 3 , 3 , 6 , 20 , 8 , 36 , 2 , 5 , 1 , 4 , 0 , 122 , -   , 5 , -   , 0 , 12 , 751 ,,
Real estate activities,c29, 3 , 33 , 1 , 1 , 0 , 0 , 2 , 0 , 1 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 3 , 8 , 5 , 9 , 32 , 5 , 4 , 0 , 1 , 1 , 11 , 16 , 46 , 16 , 21 , 3 , 2 , 5 , 0 , 625 , -   , 2 , 0 , 0 , 81 , 940 ,,
Renting of M&Eq and other business activities,c30, 30 , 174 , 7 , 4 , 0 , 1 , 2 , 1 , 2 , 2 , 3 , 3 , 1 , 0 , 0 , 1 , 11 , 46 , 2 , 29 , 15 , 8 , 11 , 0 , 8 , 9 , 15 , 17 , 15 , 65 , 66 , 17 , 8 , 16 , 0 , 107 , 1 , 33 , 35 , 8 , 68 , 838 ,,
Public administration and defense; compulsory social security,c31, 0 , 9 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 12 , 0 , 2 , 1 , 1 , 1 , 0 , 1 , 0 , 3 , 2 , 1 , 4 , 1 , 4 , 2 , 1 , 0 , 21 , 0 , 708 , 0 , 0 , 0 , 789 ,,
Education,c32, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 214 , 6 , 410 , 0 , (0), 6 , 647 ,,
Health and social work,c33, 0 , 5 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 4 , 0 , 0 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 1 , 0 , 105 , 0 , 239 , 0 , 0 , 2 , 370 ,,
"Other community, social, and personal services",c34, 4 , 27 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 6 , 12 , 0 , 6 , 2 , 2 , 2 , 0 , 1 , 1 , 2 , 2 , 2 , 10 , 10 , 2 , 2 , 31 , 0 , 74 , 25 , 82 , 4 , (0), 18 , 333 ,,
Private households with employed persons,c35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , 2 , -   , -   , -   , (0), 0 , 2 ,,
Imports,M, 115 , 670 , 119 , 52 , 3 , 9 , 15 , 4 , 16 , 5 , 25 , 26 , 9 , 7 , 0 , 6 , 95 , 352 , 11 , 103 , 46 , 27 , 250 , 0 , 23 , 55 , 73 , 35 , 32 , 117 , 67 , 38 , 65 , 36 , -   ," 1,070 ", 4 , 73 , 435 , 323 , -   ," 4,412 ",,
Intermediate input total,r60, 538 ," 2,311 "," 1,021 ", 158 , 24 , 34 , 40 , 50 , 31 , 13 , 86 , 90 , 21 , 14 , 2 , 16 , 457 ," 1,304 ", 54 , 384 , 236 , 140 , 465 , 0 , 79 , 125 , 183 , 160 , 186 , 446 , 275 , 161 , 134 , 153 , 0 ," 5,492 ", 44 ," 1,642 "," 2,246 ", 976 ," 4,937 "," 24,728 ",,
Taxes less subsidies on products,r99, 22 , 101 , 30 , 5 , 0 , 1 , 3 , 0 , 3 , 1 , 6 , 7 , 2 , 1 , 0 , 1 , 13 , 72 , 2 , 20 , 10 , 9 , 73 , 0 , 6 , 14 , 8 , 7 , 7 , 21 , 14 , 7 , 12 , 6 , 0 , 335 , 0 , 3 , 50 , 12 , -   , 886 ,,
CIF / FOB adjustments on exports,r61, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Direct purchases abroad by residents,r62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 203 , -   , -   , -   , -   , -   , 203 ,,
Purchases on the domestic territory by non-residents ,r63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (155), -   , -   , -   , -   , -   , (155),,
Value added at basic prices,r64," 1,330 "," 2,287 ", 447 , 119 , 7 , 15 , 25 , 13 , 23 , 5 , 55 , 83 , 10 , 11 , 1 , 13 , 270 , 451 , 100 , 652 , 522 , 102 , 363 , 0 , 78 , 137 , 241 , 584 , 748 , 372 , 500 , 478 , 223 , 175 , 2 , -   , -   , -   , -   , -   , -   ," 10,440 ",,
International Transport Margins,trs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
TOTAL,r69," 1,890 "," 4,700 "," 1,497 ", 281 , 31 , 51 , 68 , 64 , 57 , 18 , 147 , 179 , 32 , 26 , 2 , 31 , 740 ," 1,827 ", 155 ," 1,056 ", 768 , 251 , 901 , 0 , 163 , 276 , 432 , 751 , 940 , 838 , 789 , 647 , 370 , 333 , 2 ," 5,876 ", 45 ," 1,645 "," 2,296 ", 989 ," 4,937 "," 36,103 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
