"Table 1.13: Mongolia Input-Output Table (35x35), 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 138 , 3 , 556 , 23 , 16 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , 0 , 4 , -   , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 1 , 0 , -   , 389 , -   , -   , 241 , 329 , 412 ," 2,133 ",,
Mining and quarrying,c2, 0 , 249 , 1 , 0 , 0 , 0 , 0 , 81 , 0 , 0 , 2 , 1 , -   , 0 , -   , 0 , 43 , 11 , 0 , 0 , 1 , 0 , 0 , -   , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , -   , 16 , -   , -   , 38 , 13 ," 5,747 "," 6,208 ",,
"Food, beverages, and tobacco",c3, 5 , 2 , 90 , 0 , 0 , 0 , 0 , 1 , 0 , -   , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 4 , 0 , 77 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 12 , 2 , 1 , -   ," 1,274 ", -   , -   , 3 , 307 , 45 ," 1,829 ",,
Textiles and textile products,c4, 0 , 3 , 1 , 39 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , -   , 186 , -   , -   , 14 , 42 , 61 , 358 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 5 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , -   , 23 , -   , -   , 1 , (4), 11 , 40 ,,
Wood and products of wood and cork,c6, 0 , 1 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 19 , 0 , 0 , 0 , 2 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 2 , -   , -   , 4 , 20 , 4 , 60 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 0 , 10 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 2 , 1 , 0 , 0 , 0 , -   , 38 , -   , -   , 7 , 12 , 2 , 82 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 10 , 33 , 5 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 5 , 0 , 0 , 0 , 0 , 5 , 38 , 1 , 12 , 10 , 5 , 13 , -   , 1 , 2 , 1 , 4 , 0 , 4 , 12 , 4 , 3 , 1 , -   , 59 , -   , -   , -   , 5 , 67 , 304 ,,
Chemicals and chemical products,c9, 16 , 27 , 8 , 3 , 1 , 0 , 4 , 1 , 29 , 8 , 4 , 12 , 0 , 0 , 0 , 0 , 1 , 33 , 0 , 2 , 1 , 18 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 4 , 5 , 25 , 0 , -   , 60 , -   , -   , 1 , 2 , 1 , 269 ,,
Rubber and plastics,c10, 0 , 5 , 11 , 1 , 0 , 0 , 0 , 1 , 2 , 10 , 2 , 1 , 0 , 0 , -   , 0 , 0 , 19 , 1 , 10 , 2 , 4 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 1 , -   , 2 , 1 , 0 , -   , 8 , -   , -   , 0 , 3 , 1 , 86 ,,
Other nonmetallic minerals,c11, -   , 5 , 10 , 0 , -   , 0 , 0 , 0 , 2 , -   , 14 , 0 , 0 , 0 , -   , 0 , 0 , 83 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 2 , -   , 0 , 0 , 0 , -   , 11 , -   , -   , 21 , 16 , 11 , 179 ,,
Basic metals and fabricated metal,c12, 0 , 18 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 13 , 0 , 0 , 0 , 0 , 1 , 17 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 2 , 0 , 0 , 0 , 0 , -   , 2 , -   , -   , 3 , 5 , 149 , 211 ,,
"Machinery, nec",c13, 1 , 14 , 1 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , -   , 0 , 0 , 4 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , -   , 5 , -   , -   , 1 , 0 , 4 , 34 ,,
Electrical and optical equipment,c14, 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 3 , 0 , 0 , 2 , 0 , -   , 4 , -   , -   , 2 , 0 , 0 , 21 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , 1 , -   , -   , 0 , (0), 0 , 1 ,,
"Manufacturing, nec; recycling",c16, 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 1 , 2 , 1 , 0 , 0 , -   , 18 , -   , -   , 2 , 1 , 4 , 36 ,,
"Electricity, gas, and water supply",c17, 4 , 188 , 22 , 2 , 0 , 0 , 0 , 3 , 1 , 0 , 6 , 3 , 0 , 0 , 0 , 0 , 336 , 49 , 1 , 35 , 5 , 6 , 4 , -   , 2 , 8 , 8 , 10 , 3 , 25 , 17 , 41 , 25 , 59 , -   , 53 , -   , -   , 10 , 0 , 40 , 964 ,,
Construction,c18, 67 , 260 , 2 , 0 , 0 , 0 , 0 , 12 , -   , 0 , 1 , 5 , 0 , 0 , -   , 0 , 37 , 192 , 2 , 11 , 4 , 3 , 2 , 0 , 0 , 2 , 3 , 6 , 141 , 4 , 23 , 13 , 7 , 26 , -   , 25 , -   , -   ," 1,320 ", 2 , 74 ," 2,247 ",,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 2 , 24 , 5 , 2 , 0 , 0 , 0 , 3 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 12 , 0 , 2 , 2 , 1 , 5 , 0 , 1 , 2 , 1 , 1 , 0 , 3 , 2 , 1 , 2 , 1 , -   , 50 , -   , -   , 15 , 1 , 36 , 176 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 27 , 159 , 41 , 12 , 1 , 1 , 1 , 26 , 4 , 8 , 5 , 5 , 0 , 0 , 0 , 0 , 4 , 93 , 3 , 16 , 13 , 10 , 44 , 0 , 6 , 12 , 8 , 4 , 1 , 14 , 7 , 5 , 12 , 3 , -   , 323 , -   , -   , 68 , 3 , 257 ," 1,198 ",,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 12 , 117 , 31 , 9 , 1 , 1 , 0 , 20 , 3 , 6 , 4 , 4 , 0 , 0 , 0 , 0 , 3 , 69 , 2 , 11 , 8 , 7 , 32 , 0 , 4 , 9 , 6 , 2 , 0 , 10 , 5 , 3 , 10 , 5 , -   , 228 , -   , -   , 59 , 2 , 184 , 872 ,,
Hotels and restaurants,c22, 0 , 48 , 1 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 9 , 3 , 14 , 8 , 1 , 3 , 0 , 1 , 5 , 4 , 7 , 0 , 15 , 0 , 1 , 1 , 3 , -   , 172 , -   , 1 , 2 , 0 , 75 , 379 ,,
Inland transport,c23, 30 , 322 , 1 , 2 , 0 , 0 , 0 , 3 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 4 , 16 , 8 , 38 , 17 , 2 , 25 , 0 , 1 , 32 , 2 , 3 , 0 , 7 , -   , 0 , 1 , 2 , -   , 279 , -   , -   , 101 , 4 , 167 ," 1,069 ",,
Water transport,c24, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , (0), 0 , 0 ,,
Air transport,c25, 0 , 41 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 5 , 3 , 0 , 1 , 0 , 21 , 6 , 0 , 0 , 0 , 4 , 7 , 0 , 0 , 1 , -   , 45 , -   , -   , 0 , 0 , 55 , 194 ,,
Other supporting and auxiliary transport activities; activities of travel agencies,c26, 11 , 83 , 3 , 1 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 2 , 12 , 8 , 51 , 65 , 3 , 12 , 0 , 1 , 35 , 2 , 1 , 0 , 19 , 1 , 0 , 1 , 1 , -   , 99 , -   , 1 , 6 , 0 , 30 , 452 ,,
Post and telecommunications,c27, 9 , 52 , 4 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 26 , 1 , 19 , 14 , 1 , 9 , 0 , 6 , 14 , 16 , 23 , 1 , 19 , 5 , 3 , 1 , 5 , -   , 152 , -   , -   , 0 , 0 , 10 , 400 ,,
Financial intermediation,c28, 94 , 253 , 9 , 2 , 0 , 0 , 0 , 5 , 0 , 0 , 5 , 1 , 0 , 0 , 0 , 0 , 2 , 90 , 8 , 19 , 22 , 2 , 25 , -   , 3 , 14 , 5 , 39 , 4 , 38 , 5 , 1 , 1 , 3 , -   , 195 , -   , -   , -   , (0), 16 , 863 ,,
Real estate activities,c29, 3 , 34 , 1 , 1 , 0 , 0 , 1 , 3 , 1 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 7 , 14 , 41 , 6 , 8 , -   , 2 , 5 , 6 , 29 , 1 , 23 , 6 , 6 , 2 , 15 , -   , 622 , -   , -   , 0 , 0 , 93 , 935 ,,
Renting of M&Eq and other business activities,c30, 29 , 146 , 3 , 1 , 0 , 0 , 0 , 6 , 2 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 1 , 9 , 2 , 18 , 18 , 8 , 20 , 0 , 12 , 12 , 20 , 41 , 5 , 81 , 31 , 9 , 7 , 18 , -   , 25 , -   , 136 , 65 , 0 , 76 , 804 ,,
Public administration and defense; compulsory social security,c31, -   , 26 , 1 , -   , -   , -   , -   , 10 , 2 , -   , 0 , -   , -   , -   , -   , -   , 0 , 17 , 0 , 2 , 1 , 0 , 1 , -   , 3 , -   , 3 , 0 , 0 , 4 , -   , 1 , 1 , 0 , -   , 13 , -   , 734 , -   , 0 , 0 , 820 ,,
Education,c32, 0 , 2 , 0 , 0 , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , 0 , 1 , -   , 1 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 2 , 0 , 1 , 8 , 6 , 0 , 1 , -   , 338 , 15 , 273 , 0 , 0 , 7 , 656 ,,
Health and social work,c33, 0 , 7 , 2 , 0 , 0 , -   , -   , 1 , 0 , 0 , 0 , -   , 0 , -   , -   , -   , 0 , 5 , 0 , 11 , 0 , 0 , 3 , -   , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , -   , 181 , 0 , 224 , 1 , 0 , 3 , 443 ,,
"Other community, social, and personal services",c34, 0 , 7 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 3 , 0 , 0 , 1 , 0 , 0 , 2 , 1 , 0 , 0 , 14 , 4 , 2 , 0 , 8 , -   , 93 , 44 , 35 , 86 , 0 , 21 , 324 ,,
Private households with employed persons,c35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 0 , 3 ,,
Imports,M, 241 , 761 , 326 , 126 , 10 , 23 , 37 , 11 , 38 , 13 , 63 , 65 , 22 , 17 , 1 , 15 , 236 , 796 , 27 , 240 , 111 , 54 , 432 , 0 , 39 , 107 , 135 , 45 , 35 , 176 , 168 , 46 , 91 , 19 , -   ," 1,570 ", 9 , 123 ," 1,632 ", 530 , -   ," 8,390 ",,
Intermediate input total,r60, 701 ," 2,896 "," 1,147 ", 236 , 33 , 37 , 47 , 198 , 90 , 49 , 120 , 124 , 24 , 19 , 1 , 17 , 679 ," 1,639 ", 76 , 543 , 348 , 224 , 641 , 0 , 102 , 267 , 224 , 225 , 192 , 478 , 314 , 165 , 198 , 174 , -   ," 6,560 ", 67 ," 1,526 "," 3,701 "," 1,295 "," 7,662 "," 33,039 ",,
Taxes less subsidies on products,r99, 18 , 189 , 62 , 11 , 1 , 2 , 3 , 10 , 16 , 3 , 5 , 8 , 1 , 0 , 0 , 2 , 26 , 126 , 4 , 28 , 23 , 24 , 44 , 0 , 9 , 19 , 15 , 8 , 4 , 29 , 11 , 9 , 16 , 8 , -   , 490 , 0 , 4 , 155 , 39 , -   ," 1,423 ",,
CIF / FOB adjustments on exports,r61, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Direct purchases abroad by residents,r62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 513 , -   , -   , -   , -   , -   , 513 ,,
Purchases on the domestic territory by non-residents ,r63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (311), -   , -   , -   , -   , -   , (311),,
Value added at basic prices,r64," 1,414 "," 3,123 ", 621 , 111 , 6 , 21 , 32 , 96 , 162 , 33 , 53 , 80 , 9 , 2 , 0 , 17 , 259 , 482 , 96 , 626 , 501 , 130 , 385 , 0 , 83 , 166 , 160 , 631 , 738 , 297 , 495 , 482 , 229 , 143 , 3 , -   , -   , -   , -   , -   , -   ," 11,686 ",,
International Transport Margins,trs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
TOTAL,r69," 2,133 "," 6,208 "," 1,829 ", 358 , 40 , 60 , 82 , 304 , 269 , 86 , 179 , 211 , 34 , 21 , 1 , 36 , 964 ," 2,247 ", 176 ," 1,198 ", 872 , 379 ," 1,069 ", 0 , 194 , 452 , 400 , 863 , 935 , 804 , 820 , 656 , 443 , 324 , 3 ," 7,252 ", 68 ," 1,530 "," 3,856 "," 1,334 "," 7,662 "," 46,349 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
