"Table 1.1: Mongolia Input-Output Table (35x35), 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 21 , 0 , 22 , 37 , 5 , 2 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 9 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , -   , 153 , -   , 43 , 72 , (7), 32 , 400 ,,
Mining and quarrying,c2, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 2 , -   , 0 , 5 , (0), 155 , 170 ,,
"Food, beverages, and tobacco",c3, 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , -   , 39 , -   , 11 , 4 , (0), 15 , 75 ,,
Textiles and textile products,c4, 0 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 27 , -   , 8 , 1 , (0), 41 , 84 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , -   , 0 , -   , (0), 10 , 13 ,,
Wood and products of wood and cork,c6, 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , -   , 1 , -   , 0 , 1 , (0), 0 , 10 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 1 , 2 , 1 , 0 , 0 , 0 , -   , 2 , -   , 1 , -   , (0), 0 , 9 ,,
"Coke, refined petroleum, and nuclear fuel",c8, -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   , 0 , 0 , 0 , -   , -   , -   , 0 , 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 0 , -   , 0 , 1 , 3 ,,
Chemicals and chemical products,c9, 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , -   , 1 , -   , 0 , -   , (0), 0 , 4 ,,
Rubber and plastics,c10, 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , -   , -   , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 1 , -   , 0 , 2 , (0), 0 , 8 ,,
Other nonmetallic minerals,c11, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 5 , 0 , 0 , 0 , 0 , 1 , -   , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 2 , -   , 0 , -   , 0 , 1 , 16 ,,
Basic metals and fabricated metal,c12, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , -   , 1 , -   , 0 , 1 , (0), 27 , 46 ,,
"Machinery, nec",c13, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , -   , 0 , 0 , 4 ,,
Electrical and optical equipment,c14, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , -   , 0 , 0 , 0 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , 0 , (0), 0 , 0 ,,
"Manufacturing, nec; recycling",c16, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , -   , (0), 0 , 2 ,,
"Electricity, gas, and water supply",c17, 1 , 4 , 1 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 7 , 1 , 0 , 2 , 2 , 3 , 3 , 0 , 2 , 0 , 0 , 1 , 2 , 4 , 2 , 1 , 1 , 1 , -   , 15 , 0 , 4 , 0 , (0), 0 , 64 ,,
Construction,c18, 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 1 , 0 , 0 , -   , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 3 , 2 , 0 , 1 , 2 , 3 , 4 , 1 , 0 , 0 , -   , 2 , -   , 0 , 65 , (4), 5 , 94 ,,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 3 , (2), 2 , 5 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 4 , 3 , 2 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 3 , 3 , 0 , 5 , 3 , 1 , 3 , -   , 2 , 0 , 0 , 0 , 1 , 2 , 1 , 0 , 1 , 0 , -   , 12 , -   , 5 , 13 , (0), 23 , 100 ,,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 2 , -   , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 36 , -   , 9 , -   , 0 , 16 , 73 ,,
Hotels and restaurants,c22, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , -   , 15 , 0 , 4 , 0 , (0), 1 , 33 ,,
Inland transport,c23, 2 , 2 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 2 , 2 , 0 , 2 , 1 , 1 , 2 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , -   , 43 , 1 , 9 , 7 , (0), 42 , 128 ,,
