"Table 1.5: Mongolia Input-Output Table (35x35), 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 147 , 3 , 362 , 106 , 15 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , -   , 0 , 1 , 7 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2 , 2 , 5 , 1 , 1 , -   , 293 , 0 , 0 , 12 , 210 , 104 ," 1,287 ",,
Mining and quarrying,c2, 22 , 197 , 7 , 2 , 0 , 1 , 2 , 0 , 1 , 0 , 6 , 20 , 2 , 0 , -   , 1 , 64 , 101 , 3 , 25 , 14 , 6 , 10 , 0 , 5 , 3 , 6 , 11 , 18 , 27 , 21 , 15 , 7 , 7 , -   , 39 , 0 , 15 , 466 , (81)," 1,994 "," 3,036 ",,
"Food, beverages, and tobacco",c3, 7 , 2 , 69 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 1 , 1 , 36 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 4 , 16 , 4 , 1 , -   , 708 , 0 , 0 , 0 , 88 , 37 , 979 ,,
Textiles and textile products,c4, 0 , 3 , 1 , 29 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 1 , 4 , 0 , 2 , 4 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 3 , 4 , 4 , 6 , 3 , 2 , -   , 95 , 0 , 0 , 0 , 45 , 48 , 257 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 13 , 0 , 0 , 0 , 5 , 15 , 38 ,,
Wood and products of wood and cork,c6, 0 , 1 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 15 , 0 , 3 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 2 , 0 , 0 , 0 , 4 , 1 , 38 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 2 , 5 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 3 , 2 , 2 , 0 , 1 , -   , 18 , 0 , 0 , 5 , 2 , 1 , 54 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 1 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 3 , -   , -   , -   , 0 , 0 , 16 ,,
Chemicals and chemical products,c9, 2 , 8 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , -   , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 2 , 0 , -   , 4 , 0 , 0 , 0 , 1 , 0 , 28 ,,
Rubber and plastics,c10, 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 2 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , 3 , 0 , 16 ,,
