"Table 1.14: Mongolia Input-Output Table (35x35), 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 157 , 2 , 818 , 48 , 22 , 13 , 0 , 0 , 0 , 0 , 0 , 1 , -   , 0 , -   , 0 , 0 , 5 , -   , 0 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 0 , -   , 393 , -   , -   , 249 , 233 , 517 ," 2,473 ",,
Mining and quarrying,c2, 1 , 541 , 3 , 0 , 0 , 0 , 0 , 31 , 0 , 0 , 14 , 7 , -   , 0 , -   , 0 , 124 , 47 , 0 , 1 , 2 , 1 , 1 , -   , 0 , 2 , 1 , 1 , 0 , 3 , 2 , 2 , 2 , 3 , -   , 57 , -   , -   , 142 , 34 ," 6,050 "," 7,071 ",,
"Food, beverages, and tobacco",c3, 7 , 2 , 167 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 4 , 0 , 101 , 0 , -   , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 16 , 3 , 1 , -   ," 1,630 ", -   , -   , 3 , 275 , 60 ," 2,278 ",,
Textiles and textile products,c4, 0 , 2 , 2 , 90 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , -   , 201 , -   , -   , 15 , 32 , 70 , 427 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 11 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , -   , 23 , -   , -   , 1 , (3), 12 , 47 ,,
Wood and products of wood and cork,c6, 0 , 0 , 0 , 0 , 0 , 8 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 4 , 0 , 21 , 0 , 0 , 0 , 1 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 2 , -   , -   , 4 , 13 , 3 , 60 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 0 , 14 , 1 , 0 , 0 , 8 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 1 , 1 , 0 , 0 , 0 , -   , 36 , -   , -   , 6 , 8 , 1 , 84 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 3 , 5 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 1 , 11 , 0 , 3 , 2 , 1 , 4 , -   , 0 , 0 , 0 , 1 , 0 , 1 , 2 , 1 , 1 , 0 , -   , 14 , -   , -   , -   , 1 , 14 , 71 ,,
Chemicals and chemical products,c9, 4 , 3 , 2 , 1 , 0 , 0 , 4 , 0 , 6 , 1 , 1 , 6 , 0 , 0 , 0 , 1 , 0 , 8 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 5 , 0 , -   , 12 , -   , -   , 0 , 0 , 1 , 62 ,,
