"Table 1.15: Mongolia Input-Output Table (35x35), 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 209 , 3 , 939 , 63 , 26 , 15 , 0 , 0 , 0 , 0 , 0 , 1 , -   , 0 , -   , 0 , 0 , 7 , -   , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 4 , 1 , 2 , 0 , -   , 476 , -   , -   , 143 , 107 , 592 ," 2,600 ",,
Mining and quarrying,c2, 1 , 327 , 1 , 0 , 0 , 0 , 0 , 26 , 0 , 0 , 8 , 4 , -   , 0 , -   , 0 , 84 , 25 , 0 , 1 , 1 , 0 , 1 , -   , 0 , 2 , 1 , 0 , 0 , 2 , 1 , 1 , 1 , 2 , -   , 27 , -   , -   , 32 , 6 ," 5,533 "," 6,088 ",,
"Food, beverages, and tobacco",c3, 8 , 3 , 177 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 6 , 0 , 88 , 0 , -   , 0 , 0 , 0 , 1 , 0 , 1 , 4 , 21 , 5 , 1 , -   ," 1,825 ", -   , -   , 2 , 116 , 77 ," 2,342 ",,
Textiles and textile products,c4, 0 , 2 , 2 , 101 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 4 , 0 , 0 , -   , 211 , -   , -   , 8 , 13 , 86 , 439 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 11 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , -   , 21 , -   , -   , 0 , (1), 14 , 49 ,,
Wood and products of wood and cork,c6, 0 , 0 , 0 , 0 , 0 , 9 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 27 , 0 , 0 , 0 , 1 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 2 , -   , -   , 2 , 6 , 4 , 62 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 0 , 14 , 1 , 0 , 0 , 9 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 2 , 2 , 0 , 0 , 0 , -   , 39 , -   , -   , 3 , 3 , 1 , 87 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 3 , 5 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 1 , 11 , 0 , 3 , 2 , 1 , 4 , -   , 0 , 0 , 0 , 1 , 0 , 1 , 3 , 1 , 1 , 0 , -   , 13 , -   , -   , -   , 0 , 12 , 73 ,,
Chemicals and chemical products,c9, 4 , 4 , 2 , 1 , 0 , 0 , 4 , 0 , 7 , 1 , 1 , 7 , 0 , 0 , 0 , 1 , 0 , 8 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 6 , 0 , -   , 11 , -   , -   , 0 , 0 , 1 , 64 ,,
Rubber and plastics,c10, 0 , 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , -   , 0 , 0 , 5 , 0 , 2 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , -   , 0 , 0 , 0 , -   , 2 , -   , -   , 0 , 0 , 0 , 20 ,,
Other nonmetallic minerals,c11, -   , 4 , 15 , 0 , -   , 0 , 0 , 0 , 2 , -   , 34 , 1 , 0 , 0 , -   , 0 , 0 , 115 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 2 , -   , 1 , 0 , 0 , -   , 12 , -   , -   , 11 , 5 , 8 , 211 ,,
