"Table 1.2: Mongolia Input-Output Table (35x35), 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 229 , 6 , 257 , 78 , 11 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 2 , 13 , 0 , 0 , 0 , 11 , 1 , 0 , 0 , 0 , 1 , 0 , 3 , 3 , 2 , 6 , 2 , 1 , -   , 322 , 0 , 0 , 31 , 35 , 164 ," 1,183 ",,
Mining and quarrying,c2, 18 , 186 , 3 , 1 , 0 , 1 , 2 , 0 , 1 , 0 , 4 , 17 , 1 , 0 , 0 , 0 , 51 , 75 , 1 , 9 , 5 , 4 , 9 , 0 , 3 , 2 , 7 , 10 , 8 , 15 , 10 , 10 , 5 , 4 , -   , 25 , 0 , 13 , 276 , (4)," 1,457 "," 2,229 ",,
"Food, beverages, and tobacco",c3, 5 , 2 , 26 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 25 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 2 , 9 , 2 , 0 , -   , 406 , 0 , 0 , 0 , 7 , 35 , 524 ,,
Textiles and textile products,c4, 0 , 2 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 2 , 1 , 3 , 2 , 1 , -   , 49 , 0 , 0 , 0 , 3 , 56 , 138 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 6 , 0 , 0 , 0 , 0 , 12 , 21 ,,
Wood and products of wood and cork,c6, 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , 0 , 2 , 20 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 2 , 2 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 1 , 1 , 0 , 0 , -   , 10 , 0 , 0 , 3 , 0 , 0 , 29 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , -   , -   , -   , 0 , 0 , 9 ,,
Chemicals and chemical products,c9, 1 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , -   , 2 , 0 , 0 , 0 , 0 , 0 , 15 ,,
Rubber and plastics,c10, 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , 0 , 0 , 8 ,,
Other nonmetallic minerals,c11, 0 , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 2 , 37 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 2 , 0 , 0 , 2 , (0), 2 , 57 ,,
Basic metals and fabricated metal,c12, 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 1 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 5 , 1 , 33 , 68 ,,
"Machinery, nec",c13, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 6 , 0 , 0 , 10 ,,
Electrical and optical equipment,c14, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 3 , 0 , 0 , 6 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , 0 , -   , 0 ,,
"Manufacturing, nec; recycling",c16, 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , 2 , 0 , 0 , 6 ,,
"Electricity, gas, and water supply",c17, 6 , 29 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 104 , 3 , 0 , 3 , 1 , 1 , 3 , 0 , 1 , 1 , 2 , 3 , 1 , 4 , 3 , 3 , 2 , 1 , -   , 10 , 2 , 29 , 104 , 0 , 4 , 327 ,,
Construction,c18, 1 , 117 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 24 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 4 , 1 , 0 , 1 , 0 , 0 , -   , 5 , 0 , 0 , 311 , 0 , 9 , 483 ,,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 1 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 0 , 3 , 0 , 9 , 27 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 9 , 24 , 9 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 4 , 11 , 0 , 1 , 1 , 2 , 6 , 0 , 1 , 0 , 2 , 1 , 1 , 2 , 1 , 2 , 1 , 1 , -   , 55 , 0 , 0 , 28 , 0 , 76 , 246 ,,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 7 , 17 , 7 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 3 , 7 , 0 , 1 , 1 , 2 , 4 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , -   , 37 , 0 , 0 , 20 , 0 , 63 , 182 ,,
Hotels and restaurants,c22, 0 , 18 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 2 , 0 , 2 , 1 , 0 , 1 , 1 , -   , 27 , 0 , 0 , 0 , 0 , 47 , 110 ,,
Inland transport,c23, 8 , 55 , 2 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 4 , 7 , 2 , 17 , 14 , 2 , 32 , 0 , 1 , 36 , 7 , 2 , 0 , 3 , 1 , 1 , 1 , 1 , -   , 186 , 0 , 0 , 8 , 0 , 67 , 461 ,,
Water transport,c24, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , (0), 0 , 0 ,,
Air transport,c25, 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , 0 , 42 , 55 ,,
Other supporting and auxiliary transport activities; activities of travel agencies,c26, 2 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 1 , 3 , 3 , 1 , 3 , 0 , 1 , 1 , 6 , 2 , 1 , 2 , 3 , 1 , 1 , 1 , -   , 20 , 0 , 1 , 12 , 0 , 3 , 81 ,,
Post and telecommunications,c27, 1 , 17 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 12 , 2 , 12 , 13 , 1 , 8 , 0 , 2 , 0 , 34 , 9 , 2 , 10 , 18 , 4 , 4 , 2 , -   , 89 , 0 , 0 , 1 , 0 , 9 , 256 ,,
Financial intermediation,c28, 18 , 65 , 2 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 5 , 8 , 2 , 5 , 8 , 1 , 10 , -   , 2 , 0 , 2 , 10 , 2 , 8 , 0 , 0 , 1 , 1 , -   , 35 , -   , -   , -   , (0), 12 , 204 ,,
Real estate activities,c29, 1 , 4 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 1 , 1 , 2 , 0 , 0 , 0 , 0 , 8 , 6 , 12 , 3 , 0 , 1 , 1 , 1 , -   , 157 , 0 , 7 , 0 , 0 , 0 , 211 ,,
Renting of M&Eq and other business activities,c30, 8 , 29 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 5 , 3 , 0 , 3 , 2 , 2 , 3 , 0 , 2 , 1 , 4 , 5 , 2 , 5 , 4 , 4 , 2 , 2 , -   , 14 , 0 , 7 , 60 , 0 , 7 , 176 ,,
Public administration and defense; compulsory social security,c31, 0 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 7 , 0 , 0 , 1 , 1 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 2 , 1 , 2 , 3 , 0 , -   , 9 , -   , 165 , -   , (0), -   , 205 ,,
Education,c32, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , -   , 40 , 1 , 165 , 0 , 0 , 2 , 217 ,,
Health and social work,c33, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 13 , 3 , 90 , 1 , 0 , 0 , 114 ,,
"Other community, social, and personal services",c34, 1 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , -   , 14 , 9 , 11 , 5 , 0 , 1 , 59 ,,
Private households with employed persons,c35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Imports,M, 73 , 401 , 38 , 15 , 2 , 4 , 7 , 4 , 5 , 4 , 11 , 12 , 2 , 2 , 0 , 1 , 47 , 119 , 4 , 23 , 17 , 20 , 114 , 0 , 16 , 10 , 27 , 13 , 8 , 25 , 22 , 16 , 17 , 7 , -   , 429 , 1 , 19 , 527 , 15 , -   ," 2,079 ",,
Intermediate input total,r60, 390 ," 1,029 ", 356 , 113 , 15 , 13 , 19 , 6 , 9 , 6 , 28 , 44 , 6 , 4 , 0 , 4 , 238 , 363 , 14 , 85 , 72 , 80 , 202 , 0 , 36 , 53 , 112 , 71 , 49 , 96 , 79 , 68 , 49 , 26 , -   ," 1,972 ", 16 , 509 ," 1,411 ", 59 ," 2,115 "," 9,816 ",,
Taxes less subsidies on products,r99, 13 , 54 , 12 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 0 , 0 , 0 , 0 , (9), 29 , 1 , 10 , 6 , 5 , 26 , 0 , 3 , 2 , 3 , 1 , 2 , 6 , 6 , 3 , 3 , 1 , -   , 116 , 0 , 2 , 76 , 20 , -   , 403 ,,
CIF / FOB adjustments on exports,r61, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Direct purchases abroad by residents,r62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 84 , -   , -   , -   , -   , -   , 84 ,,
Purchases on the domestic territory by non-residents ,r63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (88), -   , -   , -   , -   , -   , (88),,
Value added at basic prices,r64, 780 ," 1,146 ", 156 , 23 , 6 , 7 , 9 , 2 , 5 , 1 , 27 , 21 , 4 , 1 , 0 , 2 , 97 , 91 , 12 , 152 , 104 , 25 , 232 , 0 , 17 , 26 , 142 , 133 , 160 , 75 , 121 , 146 , 62 , 31 , -   , -   , -   , -   , -   , -   , -   ," 3,815 ",,
International Transport Margins,trs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
TOTAL,r69," 1,183 "," 2,229 ", 524 , 138 , 21 , 20 , 29 , 9 , 15 , 8 , 57 , 68 , 10 , 6 , 0 , 6 , 327 , 483 , 27 , 246 , 182 , 110 , 461 , 0 , 55 , 81 , 256 , 204 , 211 , 176 , 205 , 217 , 114 , 59 , -   ," 2,085 ", 16 , 511 ," 1,487 ", 79 ," 2,115 "," 14,030 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
