"Table 1.10: Mongolia Input-Output Table (35x35), 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 112 , 5 , 678 , 36 , 16 , 12 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2 , 6 , 0 , 0 , 0 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 4 , 9 , 2 , 1 , 0 , 493 , -   , 0 , 390 , 223 , 219 ," 2,226 ",,
Mining and quarrying,c2, 8 , 107 , 7 , 1 , 0 , 1 , 1 , 42 , 1 , 0 , 9 , 21 , 1 , 1 , 0 , 1 , 39 , 118 , 1 , 8 , 3 , 2 , 3 , 0 , 1 , 2 , 2 , 3 , 6 , 17 , 13 , 4 , 2 , 4 , 0 , 42 , 0 , 11 , 81 , 93 ," 3,485 "," 4,139 ",,
"Food, beverages, and tobacco",c3, 13 , 4 , 78 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 13 , 0 , 49 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 7 , 4 , 16 , 4 , 4 , 0 ," 1,332 ", -   , 0 , 0 , 82 , 24 ," 1,635 ",,
Textiles and textile products,c4, 1 , 5 , 1 , 36 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 5 , 0 , 4 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 3 , 0 , 1 , 0 , 164 , -   , 0 , 1 , 44 , 33 , 307 ,,
"Leather, leather products, and footwear",c5, 0 , 1 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , -   , 0 , 0 , 2 , 6 , 34 ,,
Wood and products of wood and cork,c6, 1 , 1 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 22 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 5 , -   , 0 , 1 , 7 , 2 , 55 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 1 , 3 , 13 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 2 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 5 , 1 , 3 , 2 , 1 , 0 , 1 , 0 , 31 , -   , 0 , 1 , (5), 1 , 74 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 3 , 14 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 4 , 0 , 2 , 2 , 0 , 17 , -   , 1 , 3 , 0 , 1 , 0 , 2 , 2 , 0 , 1 , 0 , -   , 14 , -   , -   , -   , (8), 5 , 70 ,,
Chemicals and chemical products,c9, 5 , 12 , 2 , 0 , 0 , 0 , 1 , 0 , 3 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 7 , 0 , 0 , 15 , -   , 0 , 0 , 5 , 0 , 62 ,,
Rubber and plastics,c10, 0 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , -   , 0 , 0 , 0 , 0 , 20 ,,
Other nonmetallic minerals,c11, 0 , 7 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 2 , 90 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 11 , -   , 0 , 5 , 4 , 9 , 160 ,,
Basic metals and fabricated metal,c12, 0 , 26 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 6 , 0 , 0 , 0 , 0 , 3 , 33 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 1 , 0 , 0 , 0 , 0 , 2 , -   , 0 , 12 , 15 , 87 , 196 ,,
"Machinery, nec",c13, 2 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 3 , 3 , 1 , 0 , 1 , 0 , 5 , -   , 1 , 2 , 0 , 3 , 35 ,,
Electrical and optical equipment,c14, 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 2 , -   , 0 , 5 , 5 , 1 , 28 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , -   , 0 , 0 , (0), 0 , 3 ,,
"Manufacturing, nec; recycling",c16, 3 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 9 , -   , 0 , 4 , 2 , 3 , 34 ,,
"Electricity, gas, and water supply",c17, 12 , 161 , 3 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 3 , 1 , 0 , 0 , 0 , 0 , 174 , 20 , 1 , 12 , 5 , 3 , 4 , 0 , 3 , 3 , 3 , 6 , 5 , 25 , 25 , 6 , 3 , 16 , 0 , 67 , 9 , 58 , 13 , 0 , 25 , 674 ,,
Construction,c18, 36 , 207 , 6 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 1 , 0 , 0 , 0 , 6 , 318 , 2 , 11 , 4 , 2 , 4 , 0 , 0 , 1 , 1 , 2 , 45 , 6 , 6 , 8 , 3 , 4 , 0 , 34 , 0 , 0 ," 1,237 ", 3 , 51 ," 2,004 ",,
