"Table 1.10: Mongolia Input-Output Table (35x35), 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 4 , 14 , 11 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 12 , 0 , 3 , 1 , 1 , 7 , 0 , 1 , 1 , 1 , 1 , 1 , 3 , 2 , 1 , 2 , 1 , 0 , 51 , -   , 0 , 11 , 1 , 29 , 165 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 24 , 85 , 74 , 13 , 2 , 3 , 3 , 2 , 3 , 1 , 6 , 8 , 2 , 1 , 0 , 1 , 8 , 77 , 1 , 16 , 7 , 10 , 45 , 0 , 3 , 9 , 7 , 5 , 6 , 16 , 9 , 7 , 11 , 5 , 0 , 368 , -   , 0 , 76 , 8 , 199 ," 1,123 ",,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 18 , 62 , 56 , 10 , 1 , 2 , 2 , 1 , 2 , 1 , 4 , 6 , 1 , 1 , 0 , 1 , 6 , 58 , 1 , 12 , 4 , 7 , 34 , 0 , 3 , 7 , 5 , 3 , 3 , 11 , 6 , 5 , 8 , 3 , 0 , 261 , -   , 0 , 56 , 6 , 148 , 817 ,,
Hotels and restaurants,c22, 1 , 15 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 7 , 2 , 10 , 5 , 1 , 4 , 0 , 1 , 1 , 3 , 6 , 1 , 14 , 3 , 4 , 1 , 6 , 0 , 132 , 0 , 1 , 1 , 0 , 42 , 269 ,,
Inland transport,c23, 50 , 145 , 13 , 3 , 0 , 1 , 1 , 1 , 1 , 0 , 2 , 2 , 1 , 0 , 0 , 1 , 7 , 37 , 12 , 56 , 44 , 4 , 44 , 0 , 2 , 22 , 4 , 11 , 7 , 41 , 2 , 22 , 2 , 5 , 0 , 277 , 0 , 0 , 10 , 1 , 121 , 953 ,,
Water transport,c24, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , 0 , (0), 0 , 0 ,,
Air transport,c25, 0 , 15 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 5 , 3 , 0 , 1 , 0 , 20 , 0 , 0 , 1 , 2 , 8 , 8 , 0 , 0 , 1 , 0 , 63 , -   , 0 , 0 , 0 , 39 , 173 ,,
Other supporting and auxiliary transport activities; activities of travel agencies,c26, 9 , 29 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 2 , 12 , 3 , 18 , 17 , 2 , 6 , 0 , 2 , 3 , 5 , 7 , 5 , 16 , 11 , 3 , 1 , 3 , 0 , 110 , -   , 3 , 4 , 0 , 15 , 292 ,,
Post and telecommunications,c27, 7 , 16 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 13 , 3 , 26 , 20 , 1 , 9 , 0 , 3 , 3 , 9 , 11 , 2 , 17 , 4 , 3 , 1 , 3 , 0 , 154 , -   , 0 , 0 , 0 , 6 , 315 ,,
Financial intermediation,c28, 148 , 209 , 18 , 3 , 0 , 1 , 2 , 1 , 0 , 0 , 8 , 2 , 1 , 0 , 0 , 1 , 15 , 44 , 9 , 29 , 28 , 3 , 25 , -   , 4 , 3 , 4 , 23 , 9 , 41 , 2 , 6 , 1 , 4 , 0 , 148 , -   , 4 , -   , 0 , 13 , 808 ,,
Real estate activities,c29, 3 , 27 , 1 , 1 , 0 , 0 , 2 , 0 , 1 , 0 , 2 , 1 , 1 , 1 , 0 , 1 , 2 , 8 , 5 , 10 , 34 , 6 , 4 , 0 , 1 , 1 , 8 , 16 , 47 , 17 , 21 , 3 , 2 , 5 , 0 , 701 , -   , 1 , 0 , 0 , 77 ," 1,012 ",,
Renting of M&Eq and other business activities,c30, 37 , 160 , 7 , 4 , 0 , 1 , 3 , 1 , 2 , 2 , 4 , 4 , 1 , 0 , 0 , 1 , 10 , 52 , 3 , 33 , 17 , 9 , 13 , 0 , 9 , 10 , 10 , 20 , 17 , 74 , 75 , 19 , 8 , 18 , 0 , 136 , 1 , 30 , 34 , 1 , 74 , 901 ,,
Public administration and defense; compulsory social security,c31, 0 , 12 , 13 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 19 , 1 , 3 , 2 , 1 , 1 , 0 , 1 , 1 , 4 , 3 , 1 , 6 , 2 , 6 , 4 , 1 , 0 , 35 , 0 , 726 , 0 , (0), 0 , 848 ,,
Education,c32, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 292 , 8 , 377 , 0 , 0 , 7 , 696 ,,
Health and social work,c33, 0 , 5 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 5 , 0 , 0 , 2 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 5 , 1 , 0 , 144 , 0 , 222 , 0 , 0 , 2 , 397 ,,
"Other community, social, and personal services",c34, 4 , 23 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 6 , 14 , 0 , 7 , 2 , 2 , 3 , 0 , 1 , 1 , 2 , 2 , 2 , 11 , 10 , 2 , 2 , 38 , 0 , 98 , 32 , 67 , 4 , (0), 19 , 358 ,,
Private households with employed persons,c35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , 2 , -   , -   , -   , (0), -   , 2 ,,
Imports,M, 134 , 644 , 109 , 54 , 3 , 9 , 16 , 3 , 18 , 6 , 31 , 38 , 10 , 9 , 0 , 7 , 119 , 437 , 11 , 115 , 48 , 29 , 265 , 0 , 25 , 59 , 58 , 38 , 33 , 130 , 74 , 40 , 73 , 35 , 0 ," 1,270 ", 1 , 3 , 399 , 202 , -   ," 4,553 ",,
Intermediate input total,r60, 635 ," 2,029 "," 1,116 ", 173 , 26 , 37 , 44 , 55 , 34 , 14 , 94 , 98 , 23 , 15 , 2 , 18 , 416 ," 1,435 ", 57 , 408 , 252 , 150 , 494 , 0 , 84 , 132 , 133 , 172 , 200 , 480 , 296 , 173 , 145 , 164 , 0 ," 6,491 ", 52 ," 1,509 "," 2,348 ", 692 ," 4,746 "," 25,440 ",,
Taxes less subsidies on products,r99, 22 , 102 , 30 , 5 , 1 , 1 , 3 , 0 , 3 , 1 , 6 , 7 , 2 , 1 , 0 , 1 , 13 , 73 , 2 , 20 , 10 , 9 , 74 , 0 , 6 , 14 , 8 , 7 , 7 , 21 , 14 , 8 , 13 , 6 , 0 , 339 , 0 , 3 , 51 , 13 , -   , 897 ,,
CIF / FOB adjustments on exports,r61, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Direct purchases abroad by residents,r62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 238 , -   , -   , -   , -   , -   , 238 ,,
Purchases on the domestic territory by non-residents ,r63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (182), -   , -   , -   , -   , -   , (182),,
Value added at basic prices,r64," 1,569 "," 2,008 ", 489 , 130 , 7 , 17 , 28 , 15 , 25 , 5 , 60 , 90 , 11 , 12 , 1 , 15 , 246 , 496 , 106 , 694 , 555 , 110 , 386 , 0 , 83 , 145 , 174 , 629 , 805 , 400 , 538 , 515 , 240 , 188 , 2 , -   , -   , -   , -   , -   , -   ," 10,793 ",,
International Transport Margins,trs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
TOTAL,r69," 2,226 "," 4,139 "," 1,635 ", 307 , 34 , 55 , 74 , 70 , 62 , 20 , 160 , 196 , 35 , 28 , 3 , 34 , 674 ," 2,004 ", 165 ," 1,123 ", 817 , 269 , 953 , 0 , 173 , 292 , 315 , 808 ," 1,012 ", 901 , 848 , 696 , 397 , 358 , 2 ," 6,886 ", 52 ," 1,511 "," 2,399 ", 705 ," 4,746 "," 37,186 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
