"Table 1.3: Mongolia Input-Output Table (35x35), 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 283 , 4 , 342 , 104 , 14 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 2 , 13 , 0 , 0 , 0 , 13 , 1 , 0 , 0 , 0 , 1 , 0 , 4 , 5 , 3 , 9 , 2 , 1 , -   , 422 , 0 , 0 , 36 , 171 , 198 ," 1,638 ",,
Mining and quarrying,c2, 19 , 130 , 3 , 1 , 0 , 1 , 2 , 0 , 1 , 0 , 4 , 19 , 1 , 0 , 0 , 0 , 50 , 63 , 1 , 10 , 5 , 5 , 7 , 0 , 3 , 2 , 6 , 11 , 11 , 22 , 13 , 12 , 6 , 4 , -   , 28 , 0 , 16 , 278 , (20)," 1,516 "," 2,231 ",,
"Food, beverages, and tobacco",c3, 6 , 2 , 36 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 31 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 3 , 13 , 3 , 1 , -   , 552 , 0 , 0 , 0 , 36 , 44 , 732 ,,
Textiles and textile products,c4, 0 , 2 , 0 , 14 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 2 , 3 , 2 , 5 , 2 , 1 , -   , 67 , 0 , 0 , 0 , 18 , 68 , 192 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 8 , 0 , 0 , 0 , 2 , 16 , 29 ,,
Wood and products of wood and cork,c6, 0 , 1 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 11 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , 2 , 2 , 28 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 1 , 3 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 2 , 1 , 1 , 0 , 0 , -   , 14 , 0 , 0 , 4 , 1 , 1 , 40 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 2 , -   , -   , -   , (2), 4 , 12 ,,
Chemicals and chemical products,c9, 2 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 2 , 0 , -   , 3 , 0 , 0 , 0 , (0), 0 , 21 ,,
Rubber and plastics,c10, 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , 2 , 0 , 12 ,,
Other nonmetallic minerals,c11, 0 , 3 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 1 , 0 , 0 , 0 , 0 , 2 , 49 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 4 , 0 , 0 , 2 , (1), 5 , 80 ,,
Basic metals and fabricated metal,c12, 1 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 2 , 11 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 7 , 6 , 47 , 95 ,,
"Machinery, nec",c13, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 9 , (1), 2 , 13 ,,
Electrical and optical equipment,c14, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 5 , (1), 1 , 8 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , (0), 0 , 0 ,,
"Manufacturing, nec; recycling",c16, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , 0 , 3 , (4), 5 , 9 ,,
"Electricity, gas, and water supply",c17, 9 , 27 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 134 , 4 , 0 , 4 , 2 , 2 , 3 , 0 , 1 , 1 , 3 , 5 , 2 , 7 , 6 , 5 , 2 , 2 , -   , 15 , 2 , 30 , 141 , 1 , 6 , 421 ,,
Construction,c18, 2 , 103 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 25 , 0 , 2 , 1 , 2 , 1 , 0 , 0 , 0 , 1 , 0 , 6 , 2 , 1 , 1 , 1 , 0 , -   , 8 , 0 , 0 , 391 , (0), 12 , 563 ,,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 2 , 3 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 9 , 0 , 0 , 5 , 0 , 13 , 41 ,,
